plan_id,pick_arm,arm_encoded,pick_approach_x,pick_approach_y,place_approach_x,place_approach_y,milk_end_x,milk_end_y,milk_end_z
5838,RIGHT,1,1.6,0.0,3.5,0.0,4.103905449190597,0.003620481051183874,0.8058938172751233
5839,LEFT,0,1.6468083483726186,0.33080391771565054,3.405630249584287,0.35112475872107296,4.102547894189531,-0.005570301399466559,0.8047353912967542
5842,LEFT,0,1.6641019815764557,-0.05475762874065465,3.704256955395667,-0.21652059266187376,4.105047085581549,-0.006947757237585181,0.8024306739019588
5845,LEFT,0,1.4180237435422778,-0.16330713893409624,3.4261039659024157,-0.15762155144538487,4.108903719653391,0.0008645985438163438,0.8056936818889314
5848,RIGHT,1,1.7010571857553516,-0.23833201773251805,3.4512369504394296,0.32688634267822314,4.10422235434008,0.0007218268964624224,0.8070528260868725
5851,RIGHT,1,1.473167168217726,0.2209734847791862,3.240495305795639,0.3434588733448315,4.106241997532321,0.0030825262450154293,0.8054616849644773
5854,LEFT,0,1.465702983414568,-0.37485092140858595,3.6045001397344234,-0.39747814012586435,4.1073747447987845,0.0034082448054519538,0.8046613190081405
5857,LEFT,0,1.7068200359810903,-0.1378655872738001,3.375873058283605,-0.10883406057875727,4.103921051997713,-0.0032144412587597152,0.8047202473564437
5860,RIGHT,1,1.5793344939055092,-0.1689155543989851,3.209682310354307,-0.10768779779354798,4.095122809770303,0.0044794443103796594,0.8012822141939437
5863,RIGHT,1,1.7048413419631387,0.16635611481213264,3.2538198638477516,0.22806082521452875,4.101726104089242,0.007092919734979871,0.8063942671662969
5866,RIGHT,1,1.712347566826724,0.3294507432079741,3.21702510481626,0.13242611431932438,4.105380349976891,0.005179733998355297,0.805485627697891
5869,LEFT,0,1.5919653589622396,-0.0746663652150183,3.2573695662426543,-0.059501898180879975,4.103325355421788,-0.007038766492220205,0.8051048891298808
5872,RIGHT,1,1.5026177740459592,0.08368697359032079,3.6645888454714637,0.30289736984757887,4.109505651675903,0.005551425711977515,0.8048432323834961
5875,RIGHT,1,1.6224026505094842,0.34293730435883696,3.4774432654252827,0.14090357684198918,4.106447130296061,0.0006511715603121468,0.802995390080065
5878,RIGHT,1,1.6792759079224857,-0.3176696896947629,3.278299372977592,0.10151408796968142,4.100103755430582,0.007710815321047231,0.8083458045751521
5881,LEFT,0,1.7854649426686344,-0.14797418408953317,3.360994634595258,-0.365411854238292,4.100065760235036,0.0009472163059277468,0.8042040004546486
5884,LEFT,0,1.7402243932082841,0.23720872977922047,3.3646879695506926,0.04749408793791143,4.106047481547427,0.002762702130817794,0.8068783090629295
5887,LEFT,0,1.4546175895783358,-0.3502921697981397,3.3708898318915406,-0.1329050318764301,4.108496358124731,0.0008011641526445293,0.8048978520745513
5890,LEFT,0,1.7185294227074284,-0.1619926519980315,3.2830106861477812,0.2734693398490248,4.100653766712234,-0.004292957863247718,0.8019053209764556
5893,RIGHT,1,1.5494810078310415,0.3867419734790646,3.5147257573711483,-0.10827458818184543,4.108448224256772,0.0015182344921833414,0.8059056582103549
5896,LEFT,0,1.6076037593748957,0.3351533213915119,3.385015575718202,-0.2437369727202105,4.104868158285985,-0.008478799799451283,0.8086629635412812
5899,RIGHT,1,1.4727678857118405,0.35618000103494496,3.616247013904651,-0.2929254982374931,4.10937927230916,-0.0027762620931953692,0.8056862213115693
5902,LEFT,0,1.4651759951433923,-0.019550326566747933,3.531712500861102,-0.034637506674233376,4.108780027970464,-0.000682261693089757,0.804940540441154
5905,LEFT,0,1.5586869273479744,-0.0803157390722326,3.3742239503615337,-0.3786363780286307,4.1021961441907315,-0.006498467461765516,0.805596339798452
5908,RIGHT,1,1.5764758610595022,-0.14210258592309527,3.4404969250117063,0.27197805178293577,4.103280253411421,0.005762539229418189,0.8074115524361539
5911,LEFT,0,1.7563179051825628,0.3716046132530094,3.3287495882459437,-0.21769672982281385,4.100134363372102,0.0010698878852761435,0.8072179549837777
5914,RIGHT,1,1.751651969070326,0.25087922206329283,3.2405972474339717,0.12245437954109972,4.103095430182271,0.007691161171032671,0.8055896184515712
5917,RIGHT,1,1.6,0.0,3.5,0.0,4.103905449190597,0.003620481051183874,0.8058938172751233
5918,RIGHT,1,1.7561898751766511,0.11136112033584078,3.409769126973913,-0.07539896105188243,4.103468373114089,0.003725073187986705,0.8077252337100227
5919,LEFT,0,1.7077322508335517,-0.2587845603700275,3.283505633169661,-0.2444992177078259,4.10363167504492,-0.0077569462146169854,0.8070253104818315
5920,RIGHT,1,1.5581538954852316,0.033337008877666996,3.321858282881707,-0.09884335228863084,4.103459723182353,0.0035386021927233096,0.8041272466863894
5923,LEFT,0,1.734724733407453,-0.03177270165768009,3.48516202283504,0.3662124080436896,4.1057962123220175,-7.002688034599757e-05,0.8074361508161705
5926,LEFT,0,1.7595396907438947,-0.15587885954743483,3.332339376022215,0.3308653142419259,4.100706811727964,0.0023987781377340454,0.8060644485210914
5929,RIGHT,1,1.6057181496744843,0.24828168011187024,3.2414391950649724,0.35017335044755227,4.104903877012666,0.005998933362024892,0.804196182029352
5932,LEFT,0,1.6743309918666494,0.2516721046965761,3.2728490952488216,0.0674994906838502,4.101805186940058,0.0018343337820064388,0.8039103406465792
5935,LEFT,0,1.4432804252370666,-0.09821154121256914,3.578107434890576,-0.10362211394662907,4.108813897713016,-0.0030954396903842053,0.8072274266423316
5938,LEFT,0,1.663589353913282,0.23786632479060799,3.2647775648952195,0.1435041731314679,4.103207742004291,0.0001842765343704212,0.8027563228379345
5941,RIGHT,1,1.606604652230362,0.29285695647237475,3.252231924527109,0.015068492202785888,4.106674913993212,0.0037956755051844026,0.8049789767881946
5944,RIGHT,1,1.7440906108496361,0.29414790781623146,3.6012798883218005,-0.06262156817653819,4.104294756869871,0.007071153177876048,0.8064590299359546
5947,LEFT,0,1.712673287576595,0.22730434397883448,3.33226240125356,0.2972482173529225,4.102805482651119,0.0018321129179507405,0.8062066300837183
5950,RIGHT,1,1.63459298099791,0.023307875069534245,3.2241685985152375,-0.05813535155747174,4.099783783960859,0.004036689769994096,0.8058276696060005
